seloger_quartier,code_postal,rooms,epoque,furnished,ref,refmaj,refmin
Télégraphe-Pelleport Saint Fargeau,75020,1,inf1946,non-meuble,27.651252463584292,33.207071765006134,19.350202966050652
Les Halles,75001,1,1946-1970,meuble,33.21694591090547,39.820641553509624,23.212010838463527
Palais Royal,75001,1,1946-1970,meuble,36.87967152872478,44.27527697526093,25.785717701242465
Saint Germain l'Auxerrois,75001,1,1946-1970,meuble,36.895332997535085,44.29432391592105,25.79672048475439
Seine et Berges,75001,1,1946-1970,meuble,37.082464978629424,44.51895797435532,25.93137478461319
Vendôme,75001,1,1946-1970,meuble,36.9,44.3,25.8
Montorgueil-Saint Denis,75002,1,1946-1970,meuble,36.74116900442924,44.12809544985796,25.75751094764334
Sentier-Bonne Nouvelle,75002,1,1946-1970,meuble,36.79164341517428,44.18978639632412,25.79396468873698
Vivienne-Gaillon,75002,1,1946-1970,meuble,36.83514952978507,44.23341528877617,25.794363716721072
Archives,75003,1,1946-1970,meuble,36.799720365213,44.19964874650239,25.799758286851695
Arts et Métiers,75003,1,1946-1970,meuble,36.78828053651408,44.185813281043366,25.791673012786323
Enfants Rouges,75003,1,1946-1970,meuble,36.79970685804721,44.1996468983831,25.799793469359496
Sainte Avoie,75003,1,1946-1970,meuble,36.79037412951827,44.18802119123138,25.792352950567565
Arsenal,75004,1,1946-1970,meuble,36.45599142420882,43.76382858531076,25.48895041871905
Saint Gervais,75004,1,1946-1970,meuble,36.800596624922655,44.20059662492266,25.800000000000004
Saint Merri,75004,1,1946-1970,meuble,36.88669964014883,44.2838943492709,25.790882804646756
Seine et Berges,75004,1,1946-1970,meuble,36.87089325594158,44.27088008470131,25.799955547064094
Île Saint Louis,75004,1,1946-1970,meuble,36.9,44.3,25.8
Île de la Cité,75004,1,1946-1970,meuble,36.891943491014054,44.291943491014045,25.8
Jardin des Plantes,75005,1,1946-1970,meuble,29.870835197614237,35.88500223713709,20.949584638329966
Saint Victor,75005,1,1946-1970,meuble,36.766379784202385,44.15965574104287,25.776465848941676
Sorbonne,75005,1,1946-1970,meuble,36.800093541531695,44.2000935415317,25.8
Val de Grace,75005,1,1946-1970,meuble,36.79871503104517,44.19803300207262,25.798281974829838
Monnaie,75006,1,1946-1970,meuble,36.899883238853455,44.299883238853454,25.8
Notre Dame des Champs,75006,1,1946-1970,meuble,39.372369889552246,47.26668646798201,27.580274213257017
Odéon,75006,1,1946-1970,meuble,36.90631503798516,44.307613597164256,25.80467481304473
