conseil_de_quartier,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
EUROPE,17.44801784529175,967.847378100548,54.0660988110649,40.39083468732153,0.39918167536337906,0.03542226470801316,5.105368722742465,54.629347200806734,0.0,0.0,0.0,0.10695313467125053,45.63720481061765,54.25584205471109
GROS CAILLOU,12.956433456967975,204.44444929578736,30.13611162244273,36.355774341911726,0.8778081666375265,6.377457974488478,26.251838304921332,70.83979721872097,0.0,0.0,22.9703698664787,4.57395718493261,28.90288730401437,43.552785644574314
GRANDES CARRIERES - CLICHY,13.98395270159595,278.3406788884591,41.094123553629935,36.53988196403475,0.38565468161312205,0.03124743997247255,21.94751295633034,76.51535629800843,2.4096673300119624,0.0,15.871236479971174,0.0,15.62048482675737,66.09861136325948
MAIRIE,17.694935150818242,457.10028557282226,48.73056168926764,41.80867210847672,0.4904837631796741,0.04352415645962979,8.927349522273339,69.39442139515444,0.0,0.0,0.9733012212885324,2.5096375887999893,25.80915603447941,70.70790515543206
SEINE,11.158555217021627,541.4391572270558,30.42879495885054,35.27793668998906,0.6887632808619475,20.099516346522044,13.505341314967296,70.17367745647417,0.17455193443264463,0.0,26.70889695900247,7.023787429054045,30.103023158736658,35.9897405187742
MONNAIE,13.233549286779972,236.82267342693416,45.956554482126464,35.48658425525388,0.640169440793832,9.359023580815823,8.558119507364713,64.51275200473796,0.0,0.0,9.913378448675115,1.0306382710778599,29.303986959214917,59.751996321032095
BASTILLE - POPINCOURT,14.024468941582867,309.51776121300054,54.26167121201233,33.84847423366458,0.42153359264197443,0.03740571129246189,11.43117020407716,76.41761379415719,0.0,0.0,2.99379122399876,0.0,16.195406052424335,80.81080272357691
BELLEVILLE,14.093905326301636,261.40284787325385,40.937492707535256,34.81642554862707,0.4026024141169094,0.03572581149160288,23.809089590896136,82.60425063066103,0.0,1.6476522880859696,4.322057290337961,19.63158309968365,15.057048459808797,59.34165886208362
AMANDIERS - MENILMONTANT,13.507160488573355,313.8084119717489,39.568937290970865,34.238740394381736,0.459793913278193,0.04048267880238274,25.69196387023521,81.16917624102626,0.0,1.649428297365308,9.14329786774757,8.071756368399011,21.533447141980215,59.602070324507885
BERCY,10.141776211856605,819.2988825486457,20.713972103531695,50.145310002310595,0.5561386100560625,7.982676652956471,20.601844512505437,57.93682261248707,0.7451716879561749,0.0,16.20026656758037,4.4997437750000016,67.20433407713385,11.350483892329597
ECOLE MILITAIRE,12.08491662977139,625.7910172493787,34.14674933625653,42.499940530104666,0.5716439342070566,0.050578274775009466,22.72872600383254,73.22788546985613,0.0,0.8691072402159475,5.81702965648518,1.3351837990738846,49.33599222495742,42.64268707926757
MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT,12.945385446155047,599.2042195534992,23.109476323625422,46.6121361522938,0.8141150383308011,0.0617258668671839,29.40252754703376,73.86470191193368,0.7761458098684738,0.3301265092071481,3.4464212987234037,10.355036113228358,74.53939411353883,10.552876155433793
AMIRAUX - SIMPLON - POISSONNIERS,13.47659454905881,573.3943652673835,30.968552545541797,54.876213138388806,0.2390216822449491,0.023546115721898714,13.89438164826635,64.73748542662774,0.0,0.0,0.5444534737929165,5.3425625654186994,59.70259765445576,34.41038630633262
